 batch,history,calc_int,stddev,batch_time
279,10689200,  1.1998659E+02,  2.8934985E-02,  6.3084159E-02
280,10691800,  1.1999621E+02,  2.3848032E-02,  6.0142600E-04
281,10694200,  1.2000369E+02,  1.3055120E-02,  4.3660361E-02
282,10696600,  1.1998003E+02,  8.8004594E-03,  8.6591977E-02
283,10699100,  1.1999055E+02,  2.6694573E-02,  1.4443953E-02
284,10701500,  1.1998298E+02,  2.8689946E-02,  4.7623397E-02
285,10703900,  1.2001308E+02,  5.3066744E-02,  8.0951048E-02
286,10706300,  1.1999700E+02,  4.5567248E-02,  1.1423961E-01
287,10709300,  1.1998664E+02,  1.5146519E-02,  3.1038600E-03
288,10711800,  1.1998705E+02,  1.6187984E-02,  3.7361332E-02
289,10714200,  1.1998569E+02,  1.0650103E-02,  8.0860185E-02
290,10716600,  1.2000005E+02,  3.2866717E-02,  1.2431043E-01
291,10719100,  1.1998086E+02,  3.4927264E-02,  2.3333790E-03
292,10721900,  1.2000623E+02,  3.7511638E-02,  2.1042873E-02
293,10724300,  1.1999490E+02,  4.3202066E-03,  5.6373170E-02
294,10727000,  1.1999514E+02,  2.9372312E-02,  7.5124000E-04
295,10729400,  1.1998900E+02,  9.1739071E-03,  3.6194540E-02
296,10731800,  1.1999692E+02,  5.1811213E-02,  6.4134328E-02
297,10734200,  1.2000380E+02,  2.4175843E-02,  1.0029854E-01
298,10736600,  1.1999297E+02,  1.9039969E-02,  1.3610291E-01
299,10739000,  1.2000984E+02,  3.8100383E-02,  1.7202273E-01
300,10741500,  1.1999858E+02,  2.1356711E-02,  1.1900955E-02
301,10743900,  1.2000555E+02,  2.4460848E-02,  4.8552955E-02
302,10746300,  1.2001411E+02,  5.5023769E-03,  8.5123959E-02
303,10748800,  1.1996623E+02,  1.4053341E-02,  1.3008271E-02
304,10751300,  1.2000685E+02,  2.7171459E-02,  3.3714930E-03
305,10753700,  1.1998726E+02,  4.4406609E-02,  4.6806231E-02
306,10756100,  1.2001141E+02,  1.7509180E-02,  9.0226405E-02
307,10758500,  1.2000683E+02,  7.0791925E-03,  1.3368813E-01
308,10760900,  1.1997290E+02,  2.4557323E-02,  1.1765721E-01
309,10763500,  1.2001910E+02,  4.2918268E-02,  6.7426060E-03
310,10766000,  1.1999208E+02,  3.3247721E-02,  1.1107400E-04
311,10769000,  1.1997474E+02,  2.3591638E-02,  2.0745700E-03
312,10771400,  1.1997682E+02,  6.6763649E-03,  4.5830584E-02
313,10773800,  1.1998809E+02,  1.0047465E-02,  3.4540663E-02
