 batch,IMC_val,history_count,variance,stdv,rel_err
275,  4.7975670E-01,14584,  4.3490679E-03,  6.5947463E-02,  7.8998085E-04
276,  5.2002929E-01,14729,  4.3336427E-03,  6.5830409E-02,  7.8998085E-04
277,  5.0568270E-01,14876,  4.3200536E-03,  6.5727115E-02,  7.8998085E-04
278,  5.2637984E-01,15024,  4.3045488E-03,  6.5609061E-02,  7.8998085E-04
279,  5.4170755E-01,15174,  4.2896533E-03,  6.5495445E-02,  7.8998085E-04
280,  4.9567899E-01,15325,  4.2784123E-03,  6.5409574E-02,  7.8998085E-04
281,  5.0018227E-01,15478,  4.2662169E-03,  6.5316284E-02,  7.8998085E-04
282,  5.2233234E-01,15632,  4.2512605E-03,  6.5201691E-02,  7.8998085E-04
283,  5.4922592E-01,15788,  4.2376384E-03,  6.5097146E-02,  7.8998085E-04
284,  4.8375478E-01,15945,  4.2300136E-03,  6.5038555E-02,  7.8998085E-04
285,  5.6920481E-01,16104,  4.2207683E-03,  6.4967440E-02,  7.8998085E-04
286,  5.6520801E-01,16265,  4.2104938E-03,  6.4888318E-02,  7.8998085E-04
287,  5.0633312E-01,16427,  4.1976805E-03,  6.4789509E-02,  7.8998085E-04
288,  5.0325533E-01,16591,  4.1854670E-03,  6.4695185E-02,  7.8998085E-04
289,  5.3637723E-01,16756,  4.1711576E-03,  6.4584500E-02,  7.8998085E-04
290,  5.5256522E-01,16923,  4.1586319E-03,  6.4487455E-02,  7.8998085E-04
291,  5.0207148E-01,17092,  4.1468978E-03,  6.4396412E-02,  7.8998085E-04
292,  5.2847365E-01,17262,  4.1326985E-03,  6.4286067E-02,  7.8998085E-04
293,  5.4751720E-01,17434,  4.1197227E-03,  6.4185066E-02,  7.8998085E-04
294,  5.1796789E-01,17608,  4.1061500E-03,  6.4079248E-02,  7.8998085E-04
295,  5.4762049E-01,17784,  4.0933620E-03,  6.3979388E-02,  7.8998085E-04
296,  5.5071894E-01,17961,  4.0810657E-03,  6.3883219E-02,  7.8998085E-04
297,  5.1681736E-01,18140,  4.0678608E-03,  6.3779783E-02,  7.8998085E-04
298,  4.7310941E-01,18321,  4.0648126E-03,  6.3755883E-02,  7.8998085E-04
299,  5.2110961E-01,18504,  4.0514374E-03,  6.3650902E-02,  7.8998085E-04
300,  5.6390095E-01,18689,  4.0419337E-03,  6.3576204E-02,  7.8998085E-04
301,  5.5911032E-01,18875,  4.0314453E-03,  6.3493664E-02,  7.8998085E-04
302,  5.1414860E-01,19063,  4.0188650E-03,  6.3394519E-02,  7.8998085E-04
303,  5.1294880E-01,19253,  4.0064875E-03,  6.3296821E-02,  7.8998085E-04
304,  5.2465986E-01,19445,  3.9933791E-03,  6.3193189E-02,  7.8998085E-04
305,  4.8085535E-01,19639,  3.9879530E-03,  6.3150241E-02,  7.8998085E-04
306,  5.6349599E-01,19835,  3.9787667E-03,  6.3077466E-02,  7.8998085E-04
307,  5.1912976E-01,20033,  3.9661388E-03,  6.2977288E-02,  7.8998085E-04
308,  5.1730583E-01,20233,  3.9537205E-03,  6.2878617E-02,  7.8998085E-04
